name,description,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,availability_365,review_scores_value,price
Prachtig appartement met uitzicht op Da Costakade,"A beautiful, sunny, apartment with high ceilings and views of the canal on the outskirts of the city center /old West, a trendy and lively neighborhood in Amsterdam. Close to bustling bars and restaurants and walking distance to the popular Museum Square, but on a very quiet and peaceful street. A perfect location to relax, hike to the Vondelpark, drink coffee in the morning in one of the amazing breakfast bars, but also a great place to enjoy the nights in town.",De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Canal view', 'Free dryer – In unit', 'Board games']",153,4.8,320.0
Boutique Amsterdam Center Apartment,"Our lovely 1st floor(no elevator) apartment has a beautiful corner view and a lot of natural light. We are located near the museum and theatre district,  and the Vondelpark is around the corner. We live above our ""De Koffiesalon"" with great coffee and pastries.Your stay will include a gift voucher of 15 euro to spend in 'De Koffiesalon"".<br />Public transport to anywhere widely available. Bike rental next door.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],12,4.85,300.0
Charmant familiehuis op de dijk,"Charming and comfortable 100-year-old dike house with large back terrace and a wide sidewalk at the Noorderpark. Located in a quiet neighborhood with bakery, coffee shop, ice cream shop, supermarket and restaurants around the corner. In 15 minutes, you are in the middle of Amsterdam by metro (walking distance). Our house is a great place to celebrate holidays and a perfect base to explore Amsterdam and surroundings with small or large children. From Waterland and Durgerdam to Zandvoort aan Zee and Haarlem.",Oud-Noord,Entire home,Entire home/apt,4,1.0,3.0,4.0,"['Babysitter recommendations', 'Children’s dinnerware', 'Outdoor dining area']",187,5.0,380.0
Bright & cozy apartment - perfectly located!!,"Double room (2 guests max) and direct access to the sunny balcony. My flat is bright, super cozy, with a nice big open modern kitchen and small living room.",Oud-Oost,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],6,4.73,120.0
Familiehuis met ruime tuin en eigen parkeerplaats,"This spacious house is extremely suitable for families. The house features a spacious garden facing south with a trampoline. The house is situated in the quiet district of Elzenhagen in Amsterdam-Noord. Within 5 minutes walking distance is the metro North/South line with which you are within 5 minutes in the city center of Amsterdam. Furthermore, the house is located near the A10 motorway, so also easily accessible by car. The house features a private parking space.<br />Registration number: Z/22/2035779",Noord-Oost,Entire home,Entire home/apt,4,1.5,5.0,6.0,"['Barbecue utensils', 'Private backyard – Fully fenced', 'Babysitter recommendations', 'Outdoor furniture', 'Piano', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Board games', 'Outdoor dining area', 'Baking sheet']",95,4.8,300.0
Rooftop city house with WOW-factor & amazing views,"Walking distance from Amsterdam Central Station, is my home. Spread over 4 floors, it's a light and airy space with three bedrooms and two bathrooms. The roof terrace is the perfect spot to watch the city. The incredible view from the masterbedroom is hard to beat! <br />The house is near the lively Nieuwmarkt, with bars and restaurants. If you like  luxury, you better take a hotel. If you like stylish, homey & comfort this is your chance! It is our family home.<br />Z/24/2339260",Centrum-Oost,Entire home,Entire home/apt,4,2.0,3.0,5.0,"['Free washer – In unit', 'Outdoor furniture', 'Blender', 'Free dryer – In unit', 'City skyline view', 'Outdoor dining area']",0,4.68,1.0
Great new appartment in hip part of Amsterdam!,This is a great place in the eastern part of Amsterdam. It's a very populair neigbourhood withe great bars and restaurants. Hip and happening! The tram is around the corner and brings you in 10 minutes to the center. <br />The Square around thet corner is a nice meeting place mith Coffee Bru for subliem coffee and sweets. Maxwell is a restaurant with the best cheese fondue in town and has on Sunday live music. Erik's is al delicatesse shop with great wine and cheese!,Oud-Oost,Entire rental unit,Entire home/apt,4,1.0,4.0,4.0,[],225,4.56,295.0
Fabulous family home (3 bedrooms + 2 cats),"Experience the joy of this spacious 3-bedroom house while being close to Amsterdam's city center! <br /><br />The house is situated in a green & child friendly neighbourhood in the trendy Northern part of Amsterdam.<br /><br />Central station is 15 min with bike (including the free ferry) or a 5 min walk to the metro station that brings you to CS in 5 minutes. <br /><br />We prefer to rent to 30+ couples and families. We have two sweet cats called Bowie & Grace, that will stay while we are away.",Noord-West,Entire home,Entire home/apt,6,1.5,3.0,4.0,"['Babysitter recommendations', 'Outdoor furniture', 'Piano', 'BBQ grill', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Outdoor dining area', 'Baking sheet']",138,4.0,250.0
colorful apartment in amsterdam noord,"This Apartment is in Amsterdam Noord, which is only maximal 15 minutes away from the central station.<br />You can either go by bike/walk, combined with a beuatiful ferry ride or by metro.<br />It is in a colourful and kind of special Style.<br />Dowstairs you can find the living room, kitchen and the toilet.<br />Upstairs are two rooms. One is my sleeping room and the other room mis my workroom with a very comfortable sleeping couch ;-). Also the shower is upstairs.",Oud-Noord,Entire townhouse,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Board games']",4,5.0,153.0
Light and spacious in residential area in center,No description,Centrum-Oost,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"['Bathtub', 'Children’s books and toys']",120,4.51,250.0
The only place in NL where the sun always shines,"Well equiped apartment in a quiet neighborhood, with easy access to all highlights of Amsterdam. <br /><br />The bedroom has a super comfortable bed, and a foldable bed is available in the ensuite part of the apartment. <br /><br />Everthing is well maintained and all needed equipment is available. <br /><br />Restaurants, supermarkets and 2 major parks are all within 5 min walking distance. <br /><br />Nienke has been an airbnb host for 8 years and will make sure you will enjoy your stay!",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"['Board games', 'High chair']",234,4.79,216.0
Canal luxe studio,No description,Centrum-West,Private room in home,Private room,3,1.0,1.0,2.0,"['Babysitter recommendations', 'Children’s books and toys', 'Children’s dinnerware']",268,4.58,155.0
Gezellig en fijn appartement,"Nice and cozy apartment in Amsterdam-Oost, all to yourself! The apartment is in a quiet area. Muiderpoort train station and Wibaut metro station are both 10<br />minutes walk. To the center it is a 30-minute walk. On Sundays you can park for free on the street.<br />For a walk, you'll be at the Oosterpark within 5 minutes. <br />It is a cozy apartment with everything you need for a good time in Amsterdam. There is also a big screen provided if you would like to work.",Oud-Oost,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"['Board games', 'Baking sheet']",154,4.53,250.0
Cozy 1 br apartment in vibrant Oosterpark area,"This apartment is great for couples or travelers who want to experience another part of Amsterdam than just the touristic hotspots. <br /><br />It is a basic apartment with all the comfort needed. There's one bedroom, a spacious living room and a completely renovated kitchen.<br /><br />The apartment is located in the lovely Amsterdam Oost with its many great restaurants, café's and Oosterpark. Also public transportation will take you to the center in 10 minutes!",Oud-Oost,Entire condo,Entire home/apt,2,1.0,1.0,1.0,[],35,4.65,101.0
Townhouse close to citycenter,My home suits only couples,IJburg - Zeeburgereiland,Entire home,Entire home/apt,2,1.0,2.0,2.0,"['Blender', 'Canal view', 'Baking sheet']",263,4.45,150.0
Apt in Prime Amsterdam location,"This renovated first-floor apartment is perfect for families, featuring a spacious main bedroom with a king bed and a children’s room with a crib. Enjoy a large bathroom with two sinks, shower, bath, and toilet. Plus an extra half bath. The living room offers a queen-sized sofa bed with a mattress topper. The modern kitchen is complete with a hot water tap & oven + microwave. Washer/dryer also available in apartment. Relax on two balconies. Prime location near Vondelpark, shops, and dining.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,[],29,4.644438018122229,300.0
Geweldig huisje in het hippe Amsterdam Noord,"A great cottage in the hip Amsterdam North with all the comforts.<br />It is ideally located in the most beautiful and oldest part of Amsterdam North, 10 minutes by bike to the ferry to the city center and within walking distance of swimming water and nature.<br />A quiet and child-friendly village feel in the middle of the big city.",Oud-Noord,Entire home,Entire home/apt,3,1.0,2.0,2.0,"['Free washer – In unit', 'Outdoor furniture', 'Outdoor dining area']",15,4.8,150.0
Spacious private room in the heart of Amsterdam,Spacious private room in an historic Amsterdam Canal house. Located in the heart of Amsterdam in an amazing location,Centrum-West,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],68,4.49,112.0
Numa | Spacious Apartment in central Amsterdam,"This comfortable apartment offers 69.9 sqm of space. Ideal for up to six people, its double bed (160x200), sofabed (160x200), two single beds (80x200), and modern bathroom with shower make this stay a perfect way to experience Amsterdam. There’s also a kitchen and a dining table, so you’ll have everything you need for maximum comfort and minimal stress.",Westerpark,Entire serviced apartment,Entire home/apt,6,1.0,2.0,4.0,[],135,4.71,375.0
Relaxed main-floor apartment with sunny garden,"A private, comfortable and stylish apartment on Amsterdam’s ‘Westelijke eilanden’ , an unique quiet part in the city center of Amsterdam. Together they form a pictorial neighbourhood with plenty of places where you’ll be surprised by its absolute beauty.",Westerpark,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,"['Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Outdoor dining area']",5,4.65,184.0
Cosy design apartment on canals for small family,"In Houthavens area we rent our cosy apartment for small family or couple. Walking distance to Brouwersgracht and Haarlemmerdijk with lovely stores, restaurants and markets like Noordermarkt. Also close to Westerpark and het IJ to enjoy the water and boats. The apartment is situated on the first floor and has an elevator. We enjoy cooking and coffee and all equipment makes it happen. You can open the doors to our green balcony to enjoy the early sun. Good public transport in our neighborhood.",Westerpark,Entire rental unit,Entire home/apt,3,1.5,2.0,1.0,"['Canal view', 'Coffee maker: espresso machine', 'Free dryer – In unit', 'Outdoor dining area']",162,4.644438018122229,450.0
Charming quite room with fast Wifi,The room is double on the second floor separate from the rest of the house. There is a bathroom on the same floor only for the guest separated from the house (recently renovated) with shower.,Zuid,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],82,4.39,75.0
Authentic renovated apartment Amsterdam,"This trendy renovated apartment is located in the Southern part of the city (Amsterdam Oud-Zuid). The typical Amsterdam neighbourhood is very quiet but close to shops and supermarkets. Ideal to stay for a couple or two friends. It is located on the Van Tuyll van Serooskerken Square, which leads to the historical Olympic Stadium of Amsterdam. The bus and tram stop is around the corner and takes you to other places in Amsterdam in minutes. A unique and comfortable apartment with a great location!",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Board games']",363,4.67,500.0
"Playful, cozy home in The Pijp","Welcome to our playful, unique home on two floors with a lovely roof terrace located at central location in the popular 'De Pijp'.<br /><br />You enter through the shared entrance on the ground floor. The cozy, spacious kitchen is located with a staircase downstairs and is equipped with every comfort and more. From the ground floor, the staircase gives access to the cozy living room, where the unique sitting room is located with a lovely corner to relax.",De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Private backyard – Fully fenced', 'Outdoor furniture', 'Coffee maker: espresso machine', 'Board games', 'Baking sheet', 'Outdoor dining area']",168,5.0,350.0
City Centre Gem,"Tucked away between Leidsegracht, one of the prettiest and quietest canals of the city, and the bustling Leidseplein Theatre quarter, you could hardly be more centrally located.<br />Many buildings in the vicinity date back to the 1600’s.<br />The Museum quarter and Vondelpark are a stone’s throw away as well as hundreds of bars and restaurants.<br />Excellent public transport connections to railway stations (Central Station 20 minutes) and airport (Schiphol Airport 35 minutes). Do not bring a car. Queries? DM",Centrum-Oost,Entire rental unit,Entire home/apt,4,1.5,1.0,2.0,"['Outdoor furniture', 'Coffee maker: espresso machine', 'Baking sheet']",86,4.92,463.0
Private Romantic Little Houseboat on Amstel River,"Cosy, private little houseboat on one of the most beautiful spots on the Amstel River. After a crowdy day in the city this is the place to relax and enjoy a typical way of living in Amsterdam. For max 2 people.<br />The hole boat is your private place. You have a stunning view from the boat and from you private little terrace. <br />Free parking and free BBQ available, with own kitchen and a comfortable small 2 pers. bed. Bike's available. For entering the boat you have to be able to climb on board.",Watergraafsmeer,Private room in houseboat,Private room,2,1.5,0.0,1.0,"['Canal view', 'City skyline view']",24,4.58,128.0
Cozy flat + bikes in Amsterdam,"We are renting out our little apartment while we are on vacation ourselves. <br /><br />Our apartment is the perfect place to make yourself feel at home and to get an authentic idea about what it is like to live in Amsterdam.<br /><br />To dive into the full experience, you are welcome to use our bikes when you are here! Alternatively, a tram station is right around the corner.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"['Outdoor furniture', 'Outdoor dining area']",14,4.71,240.0
Renovated & comfortable apartment in city center,"Recently renovated apartment in Amsterdam! <br /><br />Experience Amsterdam to the fullest, this area is full of life! Great coffee spots, local bars, Oosterpark and Amstel rivier are just around the corner. Cycle in a few minutes to Museumplein, Leidseplein, etc. The subway or tram next door takes you quickly to Central Station or other vibrant parts of the city.<br /><br />Highlights:<br />• Fully NEW equipped kitchen & bathroom <br />• Sunny balcony<br />• Airconditioning <br />• Nespresso machine<br />• Private entry on 1st floor",Oud-Oost,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Outdoor furniture', 'Outdoor dining area']",8,4.6,257.0
Sleep in a Hub!,"Welcome to CityHub Amsterdam. Comfy sleeping pods, luxurious shared spaces, a CityHub app and your very own CityHost, CityHub revolutionises city tripping.<br /><br />This neighbourhood, called Oud-West, borders the famous canal-filled city centre. It’s known to be vibrant, diverse, and culturally rich. Leavy and lively, Oud-West is dotted with fun restaurants, bars, and art galleries.",De Baarsjes - Oud-West,Room in hotel,Hotel room,2,2.5,1.0,1.0,[],362,4.61,131.0
Generator - Bed in 4 bed Dorm,"Book a bed (or more) in our shared 4-Bed Dorm at Generator Amsterdam. This room features 2 bunks (4 beds) and a private bathroom, offering a comfortable stay for travelers. Each bunk is equipped with a light, personal shelf, USB charging station, and under-bed lockers. Pillow, duvet, and linen are included. Towels are available at reception for a small fee. Please note, this room is for guests aged 18 and over only. Perfect for those seeking a social yet comfortable experience.",Oud-Oost,Shared room in hostel,Shared room,1,1.0,1.0,2.0,['Board games'],358,4.44,52.0
Luxe appartement 2 bed met parkeerplek & dakterras,"This new unique accommodation with private parking garage 100 meters away from the metro, has its own style. (2022)<br />The apartment 118m2 has two double bedrooms, each with its own bathroom and shower toilet. The luxurious kitchen has all the comforts with steam oven, boiling and bubbling water tap, ice cubes, washing machine and dryer. A spacious balcony 12m2 and roof terrace 80m2 <br /><br />Apple TVs with Netflix, Prime, Disney+, HBO Max, Viaplay, Plex, discovery+, Apple music, spotify",Watergraafsmeer,Entire condo,Entire home/apt,4,2.0,2.0,2.0,"['Bathtub', 'Free dryer – In unit']",83,5.0,427.0
Little palace in golden west,"Enjoy a stylish, contemporary experience at this centrally-located place. Because it is a corner house, beautiful light comes in. With a small balcony on the corner. <br />In the large sitting/ dining room there is a gas fireplace. The open kitchen has all the comforts. A separate toilet on each floor.<br />Two bedrooms, both with a double bed. <br />A large bathroom with bath and shower. <br />Furthermore, a beautiful  roof terrace with amazing views over the city, many plants, a lovely lounge sofa and shade.",De Baarsjes - Oud-West,Entire loft,Entire home/apt,4,1.0,2.0,2.0,"['Free washer – In unit', 'Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Bathtub', 'Free dryer – In unit', 'City skyline view', 'Board games', 'Outdoor dining area', 'Baking sheet']",7,4.75,550.0
Lovely rooftop flat in historic centre Amsterdam,"Lovely 3 bedroom, 2 storey appartment with terrace overlooking Amsterdam rooftops. Situated on a quiet residential street in the historic centre of Amsterdam - 5 minute walk from the Museumplein, Utrechtsestraat, Pijp and the Jordaan. Incl: WiFi, bath, terrace",Centrum-Oost,Entire condo,Entire home/apt,4,2.0,3.0,3.0,"['Free washer – In unit', 'Babysitter recommendations', 'Outdoor furniture', 'Piano', 'Bathtub', 'Free dryer – In unit', 'Children’s books and toys', 'City skyline view', 'Children’s dinnerware', 'Board games', 'Outdoor dining area', 'Baking sheet']",13,4.64,185.0
A Charming Apartment in Old South,"Would you like to explore the lively city of Amsterdam while living like a local?  Discover one of Amsterdam's most prestigious, quiet and beautiful neighborhoods by staying in my cozy little apartment in Oud Zuid, Amsterdam.",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Outdoor dining area', 'Baking sheet']",8,4.644438018122229,220.0
Cozy centrally located apartment in 'de Pijp',No description,De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,3,1.0,1.0,2.0,"['Free washer – In unit', 'Blender', 'Free dryer – In unit', 'Baking sheet']",231,4.75,292.0
Central two floor private house with garden,"Entire house with private garden and own parking space. Spacious living room with open kitchen, two separate bedrooms and two bathrooms. Public transport around the corner, within 15 minutes in the centre of Amsterdam. Trainstation at 5 minutes walking distance (Sloterdijk). Very quiet neighbourhood, ideal for families. Restaurants, (grocery) shops at the end of the street.<br />Suitable for up to four adults",Geuzenveld - Slotermeer,Entire home,Entire home/apt,4,2.0,2.0,2.0,"['Outdoor furniture', 'BBQ grill', 'Outdoor dining area']",53,4.5,200.0
Downtown Double -  Amsterdam city centre,"Fully furnished, spacious room on first floor of inner city apartment.  Huge windows give plenty of light and a view of the hustle and bustle of the city.  You couldn't be more central. <br />The beauty of Amsterdam is best seen on foot, by boat, or of course, by bike.  The markets of the Jordaan are just minutes away, as is the amazing new EYE Film Museum just over the water (the 5 minute ferry is free), the Anne Frank House, the Amsterdam Museum, and the bustling Red Light District.",Centrum-West,Private room in condo,Private room,2,1.5,1.0,1.0,"['Blender', 'Bathtub']",30,4.69,135.0
Lovely 1-bedroom condo with bath tub,No description,Bijlmer-Centrum,Entire condo,Entire home/apt,2,1.0,1.0,2.0,"['Free washer – In unit', 'Bathtub']",54,4.29,120.0
First class houseboat studio,"The houseboat is situated in the centre, at the Jordaan area. The boat has 2 separate studios of 16m2 for my guests and another part of the boat where I live myself. The famous Anne Frank house, Noordermarkt and great shopping street the Haarlemmerstraat are all within minutes walking distance. The huge sliding windows can opened fully on warm days and give you a wonderful view on the canals. Also they have built in shades so you can also enjoy your privacy..",Centrum-West,Houseboat,Entire home/apt,2,1.0,1.0,1.0,[],228,4.75,246.0
Appartement Centre of Amsterdam,"In the heart of Amsterdam, in the pipe, overlooking the Albert Cuyp market is this nice apartment of about 55 m2 with new kitchen and bathroom.<br /><br />Get the tastiest food opposite at the market and walk through the Sarphatipark or along the water on the Amstel River. Sightseeing within walking distance.<br /><br />You will be renting the entire home.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Blender', 'Free dryer – In unit']",57,5.0,220.0
Houseboat in centre of Amsterdam,"Spacious bright houseboat (80 m2) on the Westerdok, with outdoor sitting area. A 10 minute walk from Central Station and the Jordaan, one of the nicest areas of Amsterdam with many restaurants and shops.",Centrum-West,Houseboat,Entire home/apt,2,1.0,1.0,1.0,"['Outdoor furniture', 'BBQ grill', 'Bathtub', 'Children’s books and toys', 'Children’s dinnerware', 'Outdoor dining area']",9,4.71,220.0
nice light studio appt a'dam centr,This very light 60 m^2 studio appt has a great view over water. It is located on the ground floor of the appt building. It has got all facilities for a comfortable stay in the centr of A'dam. The area is quiet yet near nice touristic venues.,Centrum-Oost,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"['Free washer – In unit', 'Canal view']",126,4.7,145.0
Amsterdam-BnB ~ Rose Room,"Two separate stylish double rooms only steps away from the historic Noorderkerk (Northern Church) in the heart of Amsterdam’s fashionable Jordaan. The “Rose Room” and the “Gold Room” are on the SECOND FLOOR of an elegant 18th-19th-century house in the quiet and quaint Boomstraat (Tree Street) in the Jordaan, which borders on Amsterdam’s Centrum. The beautifully-appointed, newly restored rooms each have their own spacious private bathroom",Centrum-West,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,[],80,4.644438018122229,200.0
Quiet and Peacefull apartment,"During your stay in this spacious, soothing place to stay, you'll forget all your concerns.",Bijlmer-Oost,Entire home,Entire home/apt,2,1.0,1.0,1.0,[],214,4.644438018122229,204.0
Flat in the center of Amsterdam,"Our place is the really best place you can pick. Why?<br /><br />Old Dutch house totally renovated with modern look and a boho/vintage touch situated next to a canal. Lively by day and peaceful at night. <br /><br />Best, best, best location to move anywhere you want (no kidding):<br />100 meters from our door you have the 52-metro that takes you North to South and Tram that takes you West to East. Rijksmuseum, De Pijp, Dam Square, LGBT street all in less 15mins walk distance! <br /><br />Very Dutch, very modern & very easy!",Centrum-Oost,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Canal view'],176,5.0,321.0
Luxury Canal Apartment,"The property is set on Amsterdam's oldest canal in the beautiful historical part of Amsterdam. With Dam square, the Royal palace, the Flower Market and the bustling Red Light District all within a minute's walk - you will be very well positioned to explore all the wonders Amsterdam has to offer. The property has direct canal views and is placed right opposite the 5-star Grand Hotel.",Centrum-West,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,"['Outdoor furniture', 'Baking sheet']",20,4.84,470.0
luxury penthouse in city centre,"A wonderful light and spacious penthouse apartment right in the middle of the city centre with a balcony on a canal ,with elevator,3 bedrooms, 2 bathrooms and all amenities for a perfect stay. especially suitable for families.This apartment is located in a residential building and smoking inside  is not allowed. please take a look at our reviews!<br />due to government regulations reservations for more than 4 guests are only allowed for families!",Centrum-Oost,Entire rental unit,Entire home/apt,4,2.5,3.0,3.0,"['Babysitter recommendations', 'Canal view', 'Bathtub', 'High chair']",91,4.65,471.0
Light modern house with terrace,The living room is spacious & light.  And furnished with a mix of modern and vintage design. The kitchen is open. It is a place to feel home.<br /><br />The apartment is central located between the airport Schiphol and the city centre of Amsterdam.,Zuid,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,[],259,4.46,168.0
Spacious apartment with garden in AMSTERDAM WEST,"Come and stay in our beautifully decorated ground floor apartment (with garden!) in West Amsterdam, only 10 min from city centre! <br /><br />Bike rental and the tram are all just around the corner (3 min walk). 10 min to city centre by bike or tram, but I reccomend you to also discover West Amsterdam: Vondelpark, the Foodhallen, Ten Kate Market and the JP Heijestraat with lots of great places to eat and shop!",De Baarsjes - Oud-West,Entire townhouse,Entire home/apt,2,1.0,1.0,1.0,"['Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Outdoor dining area']",46,4.77,193.0
"Spacious, light and centrally located with garden","Bright, spacious, modern ground floor apartment with garden between the Jordan and the Westerpark so surrounded by the nicest coffees, restaurants and cozy terraces. From here you can be everywhere in the foreseeable future on foot, by bike or by public transportation. The apartment itself is new, fresh, stylishly furnished. And due to its location very quiet, so no noise nuisance, except the birds in the garden. And yet in the middle of the hustle and bustle.",Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Outdoor dining area'],247,4.644438018122229,200.0
Adam Place,"Right in the best part of town. 10 minute walk from the Central Station. Organic foodmarket right around the corner, every Saturday. Little nice bars and restaurants all around the area.",Centrum-West,Entire home,Entire home/apt,2,1.5,1.0,1.0,"['Canal view', 'Free dryer – In unit']",16,4.71,290.0
Appartement in the east of Amsterdam,"Welcome to our bright and colorful apartment, located in a serene neighborhood in East Amsterdam. This stylish space offers the perfect balance between tranquility and convenience, with metro and tram stations just a short walk away. You'll be in the heart of the city within 10- 20 minutes, while still enjoying the calm of a residential area.<br /><br />We’ve updated our listing and photos this month to give you the most accurate view of the space.",Oud-Oost,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"['Blender', 'Baking sheet']",16,4.58,213.0
Stijlvol en huiselijk appartement in Oost,"Experience the best of Amsterdam from this stylish and nice apartment. Located in a quiet neighborhood in Amsterdam East, just a few steps from the Oosterpark. By tram and Amstel station within walking distance, you are within a few minutes in the beautiful city center.<br /><br />The apartment offers the perfect balance between comfort and location. It is ideal for couples who want to discover the rich culture of Amsterdam and for business travelers looking for a comfortable base.",Watergraafsmeer,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Free dryer – In unit', 'City skyline view']",86,4.8,175.0
Beautiful apartment in the Pijp,"A beautiful large full of light, duplex apartment (162m2) located on the 3rd and 4rd floor, in the most trendy and loved area of Amsterdam ‘De Pijp’.<br /><br />The apartment is fantastically located next to most attractions, museums, main squares, endless number of cafes and restaurants, parks, shops, metro stations, trams.<br /><br />The apartment is accessible from its own private staircase. There is a large sun balcony opening up from the kitchen.<br /><br />The apartment is on the top floor and has lots of natural light",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"['Bathtub', 'Free dryer – In unit']",142,5.0,460.0
Appartment @TOP Location City Centre,"Welcome to our renovated apartment in the heart of Amsterdam. Our stylish, monumental home from 1884 is located on Bickerseiland. The characteristic ground-floor apartment is placed in a peaceful area, with the vibrant city life in walking distance. The Central Station is a 15-minute walk (5 min by bus), a charming shopping street (Haarlemmerstraat) and the Westerpark is just a 5-minute walk away. The location is perfect to explore all the beauty of Amsterdam; canals, narrow streets, and shops.",Centrum-West,Entire loft,Entire home/apt,2,1.0,1.0,1.0,['Blender'],6,4.83,279.0
Private Apartment 20 min from city centre,"Wonderful two-room apartment near metro stop strandvliet. Located in a quiet neighborhood near the Amsterdam gate and the ArenA. There is a direct metro connection to the city center. With 20 minutes, you'll be in the heart of Amsterdam!",Bijlmer-Centrum,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Free washer – In unit'],30,4.2,118.0
Fully renovated apartment near famous Rembrandtpark,"Beautiful Modern Style apartment in Amsterdam West. Refurbished and decorated with a double bed, fully equipped kitchen and cozy balcony to welcome 2 guests in the beautiful city of Amsterdam!",Slotervaart,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Pack ’n play/Travel crib'],251,4.33,220.0
Studio on a ship in the city center,"Our ship, built in 1901, is located in the midst of Amsterdam, surrounded by many of the cities landmarks (St Nicholas Basilica, Maritime Museum, Science Museum). Walking distance to Central Station is 5 minutes. The studio (which has its own entrance and private bathroom) has a king bed fit for two guests (2x1.80m), and a sofabed for a third guest.",Centrum-Oost,Private room in houseboat,Private room,3,1.0,1.0,2.0,"['Outdoor furniture', 'City skyline view', 'Outdoor dining area']",77,4.73,180.0
100m2 newly renovated apartment by the Vondelpark,"Right around the Vondelpark, enjoy a peaceful stay in a light and spacious newly renovated apartment.",Zuid,Entire rental unit,Entire home/apt,4,1.5,2.0,0.0,"['Bathtub', 'Outdoor dining area']",254,4.67,481.0
Gezellig familiehuis met tuin dichtbij Vondelpark.,"This unique, cozy house, ideal for couples or families,  is located in a quiet street  in Amsterdam-Zuid. The lower floor is spacious and bright, with a large kitchen and more than enough space to play and relax.  In the garden you can eat outside or barbecue and children love the large trampoline and football goals.",Zuid,Entire townhouse,Entire home/apt,4,1.0,2.0,2.0,"['Free washer – In unit', 'Barbecue utensils', 'Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Board games', 'Outdoor dining area', 'Baking sheet']",13,4.33,275.0
The Perfect Stay with Terrace,"Welcome to our little paradise on Valeriusstraat Amsterdam 🏡<br /><br />🌿 Features:<br />- Open Living Area: Combined living, dining, and kitchen space.<br />- Sunny Terrace: South-facing terrace with all-day sun ☀️, vegetable garden, and Weber BBQ.<br />- Modern Amenities: High-end kitchen, beamer for films, bath, and rain shower.<br />- Cozy Bedroom: Comfortable bed, storage, desk, and reading nook.<br /><br />Enjoy our charming home and experience the best of Amsterdam! 🌼",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Barbecue utensils', 'BBQ grill', 'Blender', 'Outdoor dining area', 'Baking sheet']",359,5.0,400.0
Entire private apartment in renovated cargo ship,***please read carefully before booking***<br /><br />1. The  boat is still operational. It’s not a “floating apartment” but an actual boat. <br /><br />2. If you are used to 5* hotels with airconditioning etc. this might not be you’re type of accommodation.<br /><br />3. If you have an adventurous mindset and want to experience staying in a unique renovated cargo ship you’re more then welcome.,Oostelijk Havengebied - Indische Buurt,Houseboat,Entire home/apt,4,1.0,2.0,5.0,"['Free washer – In unit', 'Barbecue utensils', 'BBQ grill', 'Blender', 'Free dryer – In unit']",103,4.46,275.0
